flight_number,aircraft_registration,origin_iata,destination_iata,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,status,airline_code,flight_id
NH 475,JA745A,HND,OKA,2026-05-31 05:45Z,2026-05-31 05:47Z,2026-05-31 08:25Z,2026-05-31 08:20Z,Departed,NH,NH475_2026-05-31 05:45Z
NH 2495,JA810X,HND,OIT,2026-05-31 05:40Z,2026-05-31 05:48Z,2026-05-31 07:20Z,Not Available,Departed,NH,NH2495_2026-05-31 05:40Z
6J 95,JA810X,HND,OIT,2026-05-31 05:40Z,2026-05-31 05:48Z,2026-05-31 07:20Z,Not Available,Departed,6J,6J95_2026-05-31 05:40Z
NH 31,JA87AN,HND,ITM,2026-05-31 05:50Z,2026-05-31 05:52Z,2026-05-31 06:55Z,2026-05-31 06:55Z,Departed,NH,NH31_2026-05-31 05:50Z
JL 973,JA03RK,HND,ISG,2026-05-31 05:45Z,2026-05-31 05:52Z,2026-05-31 08:55Z,Not Available,Departed,JL,JL973_2026-05-31 05:45Z
AA 8344,Unknown,HND,MNL,2026-05-31 05:55Z,2026-05-31 05:55Z,2026-05-31 10:50Z,Not Available,GateClosed,AA,AA8344_2026-05-31 05:55Z
NH 5333,Unknown,HND,MNL,2026-05-31 05:55Z,2026-05-31 05:55Z,2026-05-31 10:50Z,Not Available,GateClosed,NH,NH5333_2026-05-31 05:55Z
PR 421,Unknown,HND,MNL,2026-05-31 05:55Z,2026-05-31 05:55Z,2026-05-31 10:50Z,Not Available,GateClosed,PR,PR421_2026-05-31 05:55Z
NH 4759,JA613A,HND,HKD,2026-05-31 05:40Z,2026-05-31 05:59Z,2026-05-31 07:00Z,Not Available,Departed,NH,NH4759_2026-05-31 05:40Z
HD 59,JA613A,HND,HKD,2026-05-31 05:40Z,2026-05-31 05:59Z,2026-05-31 07:00Z,Not Available,Departed,HD,HD59_2026-05-31 05:40Z
JL 283,JA657J,HND,IZO,2026-05-31 05:55Z,2026-05-31 05:59Z,2026-05-31 07:20Z,Not Available,Departed,JL,JL283_2026-05-31 05:55Z
NH 69,Unknown,HND,CTS,2026-05-31 06:00Z,2026-05-31 06:00Z,2026-05-31 07:30Z,2026-05-31 07:30Z,GateClosed,NH,NH69_2026-05-31 06:00Z
JL 667,JA327J,HND,OIT,2026-05-31 06:00Z,2026-05-31 06:01Z,2026-05-31 07:40Z,Not Available,Departed,JL,JL667_2026-05-31 06:00Z
NH 1083,Unknown,HND,NGS,2026-05-31 06:00Z,2026-05-31 06:03Z,2026-05-31 07:55Z,Not Available,Departed,NH,NH1083_2026-05-31 06:00Z
NH 259,Unknown,HND,FUK,2026-05-31 06:00Z,2026-05-31 06:05Z,2026-05-31 07:55Z,2026-05-31 07:55Z,GateClosed,NH,NH259_2026-05-31 06:00Z
DL 294,Unknown,HND,ATL,2026-05-31 06:15Z,2026-05-31 06:05Z,2026-05-31 18:55Z,Not Available,GateClosed,DL,DL294_2026-05-31 06:15Z
VN 3010,Unknown,HND,ATL,2026-05-31 06:15Z,2026-05-31 06:05Z,2026-05-31 18:55Z,Not Available,GateClosed,VN,VN3010_2026-05-31 06:15Z
BC 19,JA73ND,HND,FUK,2026-05-31 06:05Z,2026-05-31 06:05Z,2026-05-31 08:00Z,2026-05-31 08:00Z,GateClosed,BC,BC19_2026-05-31 06:05Z
JL 121,JA849J,HND,ITM,2026-05-31 05:35Z,2026-05-31 06:06Z,2026-05-31 06:40Z,2026-05-31 06:40Z,Departed,JL,JL121_2026-05-31 05:35Z
NH 2477,JA804X,HND,KOJ,2026-05-31 06:05Z,2026-05-31 06:08Z,2026-05-31 08:00Z,Not Available,Departed,NH,NH2477_2026-05-31 06:05Z
6J 77,JA804X,HND,KOJ,2026-05-31 06:05Z,2026-05-31 06:08Z,2026-05-31 08:00Z,Not Available,Departed,6J,6J77_2026-05-31 06:05Z
NH 681,JA614A,HND,HIJ,2026-05-31 06:00Z,2026-05-31 06:09Z,2026-05-31 07:25Z,Not Available,Departed,NH,NH681_2026-05-31 06:00Z
JL 157,Unknown,HND,MSJ,2026-05-31 05:55Z,2026-05-31 06:09Z,2026-05-31 07:10Z,Not Available,Departed,JL,JL157_2026-05-31 05:55Z
NH 645,Unknown,HND,KMJ,2026-05-31 05:55Z,2026-05-31 06:10Z,2026-05-31 07:40Z,Not Available,GateClosed,NH,NH645_2026-05-31 05:55Z
NH 385,Unknown,HND,YGJ,2026-05-31 06:10Z,2026-05-31 06:10Z,2026-05-31 07:30Z,Not Available,Boarding,NH,NH385_2026-05-31 06:10Z
NH 3825,Unknown,HND,KIX,2026-05-31 06:15Z,2026-05-31 06:15Z,2026-05-31 07:40Z,2026-05-31 07:40Z,GateClosed,NH,NH3825_2026-05-31 06:15Z
7G 25,Unknown,HND,KIX,2026-05-31 06:15Z,2026-05-31 06:15Z,2026-05-31 07:40Z,2026-05-31 07:40Z,GateClosed,7G,7G25_2026-05-31 06:15Z
JL 483,Unknown,HND,TAK,2026-05-31 06:15Z,2026-05-31 06:15Z,2026-05-31 07:35Z,Not Available,GateClosed,JL,JL483_2026-05-31 06:15Z
JL 919,Unknown,HND,OKA,2026-05-31 06:10Z,2026-05-31 06:20Z,2026-05-31 08:55Z,2026-05-31 08:55Z,Delayed,JL,JL919_2026-05-31 06:10Z
JL 323,Unknown,HND,FUK,2026-05-31 06:25Z,2026-05-31 06:25Z,2026-05-31 08:20Z,2026-05-31 08:20Z,CheckIn,JL,JL323_2026-05-31 06:25Z
NH 2461,Unknown,HND,KMI,2026-05-31 06:25Z,2026-05-31 06:25Z,2026-05-31 08:10Z,Not Available,Boarding,NH,NH2461_2026-05-31 06:25Z
6J 61,Unknown,HND,KMI,2026-05-31 06:25Z,2026-05-31 06:25Z,2026-05-31 08:10Z,Not Available,Boarding,6J,6J61_2026-05-31 06:25Z
BC 307,Unknown,HND,KOJ,2026-05-31 06:30Z,2026-05-31 06:30Z,2026-05-31 08:20Z,Not Available,Boarding,BC,BC307_2026-05-31 06:30Z
NH 797,Unknown,HND,OIT,2026-05-31 06:30Z,2026-05-31 06:30Z,2026-05-31 08:10Z,Not Available,Boarding,NH,NH797_2026-05-31 06:30Z
JL 437,Unknown,HND,MYJ,2026-05-31 06:30Z,2026-05-31 06:30Z,2026-05-31 08:00Z,Not Available,CheckIn,JL,JL437_2026-05-31 06:30Z
JL 93,Unknown,HND,GMP,2026-05-31 06:35Z,2026-05-31 06:35Z,2026-05-31 08:55Z,2026-05-31 08:55Z,Boarding,JL,JL93_2026-05-31 06:35Z
KE 5710,Unknown,HND,GMP,2026-05-31 06:35Z,2026-05-31 06:35Z,2026-05-31 08:55Z,2026-05-31 08:55Z,Boarding,KE,KE5710_2026-05-31 06:35Z
JL 125,Unknown,HND,ITM,2026-05-31 05:55Z,2026-05-31 06:35Z,2026-05-31 07:00Z,2026-05-31 07:00Z,Delayed,JL,JL125_2026-05-31 05:55Z
NH 1105,Unknown,HND,CTS,2026-05-31 06:30Z,2026-05-31 06:35Z,2026-05-31 08:00Z,2026-05-31 08:00Z,Delayed,NH,NH1105_2026-05-31 06:30Z
NH 477,Unknown,HND,OKA,2026-05-31 06:25Z,2026-05-31 06:35Z,2026-05-31 09:00Z,2026-05-31 09:00Z,Delayed,NH,NH477_2026-05-31 06:25Z
BC 109,Unknown,HND,UKB,2026-05-31 06:35Z,2026-05-31 06:35Z,2026-05-31 07:50Z,2026-05-31 07:50Z,Boarding,BC,BC109_2026-05-31 06:35Z
BC 519,Unknown,HND,OKA,2026-05-31 06:35Z,2026-05-31 06:35Z,2026-05-31 09:20Z,2026-05-31 09:20Z,CheckIn,BC,BC519_2026-05-31 06:35Z
JL 5031,Unknown,HND,CAN,2026-05-31 06:40Z,2026-05-31 06:40Z,2026-05-31 11:15Z,Not Available,CheckIn,JL,JL5031_2026-05-31 06:40Z
CZ 386,Unknown,HND,CAN,2026-05-31 06:40Z,2026-05-31 06:40Z,2026-05-31 11:15Z,Not Available,CheckIn,CZ,CZ386_2026-05-31 06:40Z
JL 461,Unknown,HND,TKS,2026-05-31 06:40Z,2026-05-31 06:40Z,2026-05-31 07:55Z,Not Available,CheckIn,JL,JL461_2026-05-31 06:40Z
NH 261,Unknown,HND,FUK,2026-05-31 06:40Z,2026-05-31 06:40Z,2026-05-31 08:35Z,2026-05-31 08:35Z,Canceled,NH,NH261_2026-05-31 06:40Z
NH 749,Unknown,HND,NTQ,2026-05-31 06:30Z,2026-05-31 06:45Z,2026-05-31 07:25Z,Not Available,Delayed,NH,NH749_2026-05-31 06:30Z
CZ 648,Unknown,HND,PKX,2026-05-31 06:45Z,2026-05-31 06:45Z,2026-05-31 10:45Z,Not Available,Boarding,CZ,CZ648_2026-05-31 06:45Z
JL 5075,Unknown,HND,PKX,2026-05-31 06:45Z,2026-05-31 06:45Z,2026-05-31 10:45Z,Not Available,Boarding,JL,JL5075_2026-05-31 06:45Z
NH 4729,Unknown,HND,CTS,2026-05-31 06:50Z,2026-05-31 06:50Z,2026-05-31 08:20Z,2026-05-31 08:20Z,CheckIn,NH,NH4729_2026-05-31 06:50Z
HD 29,Unknown,HND,CTS,2026-05-31 06:50Z,2026-05-31 06:50Z,2026-05-31 08:20Z,2026-05-31 08:20Z,CheckIn,HD,HD29_2026-05-31 06:50Z
UA 876,Unknown,HND,SFO,2026-05-31 06:50Z,2026-05-31 06:50Z,2026-05-31 16:45Z,2026-05-31 16:45Z,Boarding,UA,UA876_2026-05-31 06:50Z
NH 7010,Unknown,HND,SFO,2026-05-31 06:50Z,2026-05-31 06:50Z,2026-05-31 16:45Z,2026-05-31 16:45Z,Boarding,NH,NH7010_2026-05-31 06:50Z
NH 1895,Unknown,HND,HAC,2026-05-31 06:50Z,2026-05-31 06:50Z,2026-05-31 07:40Z,Not Available,CheckIn,NH,NH1895_2026-05-31 06:50Z
NH 697,Unknown,HND,UBJ,2026-05-31 06:50Z,2026-05-31 06:50Z,2026-05-31 08:30Z,Not Available,CheckIn,NH,NH697_2026-05-31 06:50Z
VN 3020,Unknown,HND,SEA,2026-05-31 07:05Z,2026-05-31 06:55Z,2026-05-31 16:15Z,Not Available,CheckIn,VN,VN3020_2026-05-31 07:05Z
DL 166,Unknown,HND,SEA,2026-05-31 07:05Z,2026-05-31 06:55Z,2026-05-31 16:15Z,Not Available,CheckIn,DL,DL166_2026-05-31 07:05Z
JL 921,Unknown,HND,OKA,2026-05-31 06:55Z,2026-05-31 06:55Z,2026-05-31 09:40Z,2026-05-31 09:40Z,CheckIn,JL,JL921_2026-05-31 06:55Z
JL 325,Unknown,HND,FUK,2026-05-31 06:55Z,2026-05-31 06:55Z,2026-05-31 08:55Z,2026-05-31 08:55Z,CheckIn,JL,JL325_2026-05-31 06:55Z
NH 727,Unknown,HND,IWJ,2026-05-31 07:00Z,2026-05-31 07:00Z,2026-05-31 08:35Z,Not Available,CheckIn,NH,NH727_2026-05-31 07:00Z
JL 147,Unknown,HND,AOJ,2026-05-31 07:00Z,2026-05-31 07:00Z,2026-05-31 08:10Z,Not Available,CheckIn,JL,JL147_2026-05-31 07:00Z
NH 71,Unknown,HND,CTS,2026-05-31 07:00Z,2026-05-31 07:00Z,2026-05-31 08:40Z,2026-05-31 08:40Z,CheckIn,NH,NH71_2026-05-31 07:00Z
JL 521,Unknown,HND,CTS,2026-05-31 06:25Z,2026-05-31 07:00Z,2026-05-31 07:55Z,2026-05-31 07:55Z,Delayed,JL,JL521_2026-05-31 06:25Z
NH 33,Unknown,HND,ITM,2026-05-31 07:00Z,2026-05-31 07:00Z,2026-05-31 08:05Z,2026-05-31 08:05Z,CheckIn,NH,NH33_2026-05-31 07:00Z
BC 21,Unknown,HND,FUK,2026-05-31 07:05Z,2026-05-31 07:05Z,2026-05-31 09:05Z,2026-05-31 09:05Z,CheckIn,BC,BC21_2026-05-31 07:05Z
NH 1095,Unknown,HND,OKA,2026-05-31 07:05Z,2026-05-31 07:05Z,2026-05-31 09:45Z,2026-05-31 09:45Z,CheckIn,NH,NH1095_2026-05-31 07:05Z
NH 397,Unknown,HND,SYO,2026-05-31 07:00Z,2026-05-31 07:10Z,2026-05-31 08:00Z,Not Available,Delayed,NH,NH397_2026-05-31 07:00Z
JL 7014,Unknown,HND,DFW,2026-05-31 07:30Z,2026-05-31 07:10Z,2026-05-31 19:15Z,Not Available,CheckIn,JL,JL7014_2026-05-31 07:30Z
AA 176,Unknown,HND,DFW,2026-05-31 07:30Z,2026-05-31 07:10Z,2026-05-31 19:15Z,Not Available,CheckIn,AA,AA176_2026-05-31 07:30Z
OZ 9103,Unknown,HND,GMP,2026-05-31 07:10Z,2026-05-31 07:10Z,2026-05-31 09:35Z,2026-05-31 09:35Z,CheckIn,OZ,OZ9103_2026-05-31 07:10Z
NH 865,Unknown,HND,GMP,2026-05-31 07:10Z,2026-05-31 07:10Z,2026-05-31 09:35Z,2026-05-31 09:35Z,CheckIn,NH,NH865_2026-05-31 07:10Z
VN 3026,Unknown,HND,MSP,2026-05-31 07:20Z,2026-05-31 07:10Z,2026-05-31 18:40Z,Not Available,CheckIn,VN,VN3026_2026-05-31 07:20Z
DL 120,Unknown,HND,MSP,2026-05-31 07:20Z,2026-05-31 07:10Z,2026-05-31 18:40Z,Not Available,CheckIn,DL,DL120_2026-05-31 07:20Z
NH 567,Unknown,HND,KCZ,2026-05-31 07:15Z,2026-05-31 07:15Z,2026-05-31 08:35Z,Not Available,CheckIn,NH,NH567_2026-05-31 07:15Z
NH 4773,Unknown,HND,KUH,2026-05-31 07:15Z,2026-05-31 07:15Z,2026-05-31 08:55Z,2026-05-31 08:55Z,CheckIn,NH,NH4773_2026-05-31 07:15Z
HD 73,Unknown,HND,KUH,2026-05-31 07:15Z,2026-05-31 07:15Z,2026-05-31 08:55Z,2026-05-31 08:55Z,CheckIn,HD,HD73_2026-05-31 07:15Z
UA 804,Unknown,HND,IAD,2026-05-31 06:45Z,2026-05-31 07:15Z,2026-05-31 19:50Z,Not Available,CheckIn,UA,UA804_2026-05-31 06:45Z
NH 7028,Unknown,HND,IAD,2026-05-31 06:45Z,2026-05-31 07:15Z,2026-05-31 19:50Z,Not Available,CheckIn,NH,NH7028_2026-05-31 06:45Z
QR 5843,Unknown,HND,HKG,2026-05-31 07:20Z,2026-05-31 07:20Z,2026-05-31 12:00Z,2026-05-31 12:00Z,CheckIn,QR,QR5843_2026-05-31 07:20Z
JL 7039,Unknown,HND,HKG,2026-05-31 07:20Z,2026-05-31 07:20Z,2026-05-31 12:00Z,2026-05-31 12:00Z,CheckIn,JL,JL7039_2026-05-31 07:20Z
CX 549,Unknown,HND,HKG,2026-05-31 07:20Z,2026-05-31 07:20Z,2026-05-31 12:00Z,2026-05-31 12:00Z,CheckIn,CX,CX549_2026-05-31 07:20Z
JL 2,Unknown,HND,SFO,2026-05-31 07:20Z,2026-05-31 07:20Z,2026-05-31 16:45Z,2026-05-31 16:45Z,CheckIn,JL,JL2_2026-05-31 07:20Z
AS 7320,Unknown,HND,SFO,2026-05-31 07:20Z,2026-05-31 07:20Z,2026-05-31 16:45Z,2026-05-31 16:45Z,CheckIn,AS,AS7320_2026-05-31 07:20Z
AA 8401,Unknown,HND,SFO,2026-05-31 07:20Z,2026-05-31 07:20Z,2026-05-31 16:45Z,2026-05-31 16:45Z,CheckIn,AA,AA8401_2026-05-31 07:20Z
MH 9102,Unknown,HND,SFO,2026-05-31 07:20Z,2026-05-31 07:20Z,2026-05-31 16:45Z,2026-05-31 16:45Z,CheckIn,MH,MH9102_2026-05-31 07:20Z
NH 297,Unknown,HND,TTJ,2026-05-31 07:20Z,2026-05-31 07:20Z,2026-05-31 08:40Z,Not Available,CheckIn,NH,NH297_2026-05-31 07:20Z
NH 319,Unknown,HND,TOY,2026-05-31 07:20Z,2026-05-31 07:20Z,2026-05-31 08:25Z,Not Available,CheckIn,NH,NH319_2026-05-31 07:20Z
DL 8,Unknown,HND,LAX,2026-05-31 07:35Z,2026-05-31 07:25Z,2026-05-31 17:51Z,Not Available,CheckIn,DL,DL8_2026-05-31 07:35Z
VN 3028,Unknown,HND,LAX,2026-05-31 07:35Z,2026-05-31 07:25Z,2026-05-31 17:51Z,Not Available,CheckIn,VN,VN3028_2026-05-31 07:35Z
LA 6701,Unknown,HND,LAX,2026-05-31 07:35Z,2026-05-31 07:25Z,2026-05-31 17:51Z,Not Available,CheckIn,LA,LA6701_2026-05-31 07:35Z
7G 27,Unknown,HND,KIX,2026-05-31 07:25Z,2026-05-31 07:25Z,2026-05-31 08:55Z,2026-05-31 08:55Z,CheckIn,7G,7G27_2026-05-31 07:25Z
NH 3827,Unknown,HND,KIX,2026-05-31 07:25Z,2026-05-31 07:25Z,2026-05-31 08:55Z,2026-05-31 08:55Z,CheckIn,NH,NH3827_2026-05-31 07:25Z
JL 695,Unknown,HND,KMI,2026-05-31 07:25Z,2026-05-31 07:25Z,2026-05-31 09:10Z,Not Available,CheckIn,JL,JL695_2026-05-31 07:25Z
JL 219,Unknown,HND,SHM,2026-05-31 07:30Z,2026-05-31 07:30Z,2026-05-31 08:40Z,Not Available,CheckIn,JL,JL219_2026-05-31 07:30Z
JL 651,Unknown,HND,KOJ,2026-05-31 07:30Z,2026-05-31 07:30Z,2026-05-31 09:20Z,Not Available,CheckIn,JL,JL651_2026-05-31 07:30Z
NH 455,Unknown,HND,HSG,2026-05-31 07:30Z,2026-05-31 07:30Z,2026-05-31 09:25Z,Not Available,CheckIn,NH,NH455_2026-05-31 07:30Z
JL 127,Unknown,HND,ITM,2026-05-31 07:30Z,2026-05-31 07:30Z,2026-05-31 08:35Z,2026-05-31 08:35Z,Expected,JL,JL127_2026-05-31 07:30Z
NH 627,Unknown,HND,KOJ,2026-05-31 07:35Z,2026-05-31 07:35Z,2026-05-31 09:25Z,Not Available,CheckIn,NH,NH627_2026-05-31 07:35Z
DL 7476,Unknown,HND,HAN,2026-05-31 07:35Z,2026-05-31 07:35Z,2026-05-31 13:25Z,Not Available,CheckIn,DL,DL7476_2026-05-31 07:35Z
VN 385,Unknown,HND,HAN,2026-05-31 07:35Z,2026-05-31 07:35Z,2026-05-31 13:25Z,Not Available,CheckIn,VN,VN385_2026-05-31 07:35Z
NH 9713,Unknown,HND,HAN,2026-05-31 07:35Z,2026-05-31 07:35Z,2026-05-31 13:25Z,Not Available,CheckIn,NH,NH9713_2026-05-31 07:35Z
CZ 7805,Unknown,HND,PEK,2026-05-31 07:35Z,2026-05-31 07:35Z,2026-05-31 11:45Z,2026-05-31 11:45Z,CheckIn,CZ,CZ7805_2026-05-31 07:35Z
JL 25,Unknown,HND,PEK,2026-05-31 07:35Z,2026-05-31 07:35Z,2026-05-31 11:45Z,2026-05-31 11:45Z,CheckIn,JL,JL25_2026-05-31 07:35Z
MU 4199,Unknown,HND,PEK,2026-05-31 07:35Z,2026-05-31 07:35Z,2026-05-31 11:45Z,2026-05-31 11:45Z,CheckIn,MU,MU4199_2026-05-31 07:35Z
NH 2417,Unknown,HND,KMJ,2026-05-31 07:35Z,2026-05-31 07:35Z,2026-05-31 09:25Z,Not Available,CheckIn,NH,NH2417_2026-05-31 07:35Z
6J 17,Unknown,HND,KMJ,2026-05-31 07:35Z,2026-05-31 07:35Z,2026-05-31 09:25Z,Not Available,CheckIn,6J,6J17_2026-05-31 07:35Z
JL 669,Unknown,HND,OIT,2026-05-31 07:40Z,2026-05-31 07:40Z,2026-05-31 09:20Z,Not Available,CheckIn,JL,JL669_2026-05-31 07:40Z
JL 523,Unknown,HND,CTS,2026-05-31 07:40Z,2026-05-31 07:40Z,2026-05-31 09:20Z,2026-05-31 09:20Z,CheckIn,JL,JL523_2026-05-31 07:40Z
JL 189,Unknown,HND,KMQ,2026-05-31 07:45Z,2026-05-31 07:45Z,2026-05-31 08:55Z,Not Available,CheckIn,JL,JL189_2026-05-31 07:45Z
HD 79,Unknown,HND,MMB,2026-05-31 07:45Z,2026-05-31 07:45Z,2026-05-31 09:30Z,2026-05-31 09:30Z,CheckIn,HD,HD79_2026-05-31 07:45Z
NH 4779,Unknown,HND,MMB,2026-05-31 07:45Z,2026-05-31 07:45Z,2026-05-31 09:30Z,2026-05-31 09:30Z,CheckIn,NH,NH4779_2026-05-31 07:45Z
NH 667,Unknown,HND,NGS,2026-05-31 07:45Z,2026-05-31 07:45Z,2026-05-31 09:45Z,Not Available,CheckIn,NH,NH667_2026-05-31 07:45Z
JL 295,Unknown,HND,UBJ,2026-05-31 07:45Z,2026-05-31 07:45Z,2026-05-31 09:30Z,Not Available,CheckIn,JL,JL295_2026-05-31 07:45Z
NH 263,Unknown,HND,FUK,2026-05-31 07:20Z,2026-05-31 07:50Z,2026-05-31 09:20Z,2026-05-31 09:20Z,Expected,NH,NH263_2026-05-31 07:20Z
NH 723,Unknown,HND,ONJ,2026-05-31 07:50Z,2026-05-31 07:50Z,2026-05-31 09:05Z,Not Available,CheckIn,NH,NH723_2026-05-31 07:50Z
NH 1097,Unknown,HND,OKA,2026-05-31 07:50Z,2026-05-31 07:50Z,2026-05-31 10:30Z,2026-05-31 10:30Z,CheckIn,NH,NH1097_2026-05-31 07:50Z
JL 497,Unknown,HND,KCZ,2026-05-31 07:55Z,2026-05-31 07:55Z,2026-05-31 09:20Z,Not Available,CheckIn,JL,JL497_2026-05-31 07:55Z
BC 723,Unknown,HND,CTS,2026-05-31 07:55Z,2026-05-31 07:55Z,2026-05-31 09:35Z,2026-05-31 09:35Z,CheckIn,BC,BC723_2026-05-31 07:55Z
JL 285,Unknown,HND,IZO,2026-05-31 07:55Z,2026-05-31 07:55Z,2026-05-31 09:25Z,Not Available,CheckIn,JL,JL285_2026-05-31 07:55Z
JL 923,Unknown,HND,OKA,2026-05-31 07:55Z,2026-05-31 07:55Z,2026-05-31 10:40Z,2026-05-31 10:40Z,CheckIn,JL,JL923_2026-05-31 07:55Z
JL 439,Unknown,HND,MYJ,2026-05-31 07:55Z,2026-05-31 07:55Z,2026-05-31 09:25Z,Not Available,CheckIn,JL,JL439_2026-05-31 07:55Z
NH 557,Unknown,HND,HKD,2026-05-31 08:00Z,2026-05-31 08:00Z,2026-05-31 09:25Z,Not Available,CheckIn,NH,NH557_2026-05-31 08:00Z
NH 35,Unknown,HND,ITM,2026-05-31 08:00Z,2026-05-31 08:00Z,2026-05-31 09:10Z,2026-05-31 09:10Z,Canceled,NH,NH35_2026-05-31 08:00Z
JL 327,Unknown,HND,FUK,2026-05-31 08:00Z,2026-05-31 08:00Z,2026-05-31 10:05Z,2026-05-31 10:05Z,CheckIn,JL,JL327_2026-05-31 08:00Z
NH 73,Unknown,HND,CTS,2026-05-31 08:00Z,2026-05-31 08:00Z,2026-05-31 09:40Z,2026-05-31 09:40Z,CheckIn,NH,NH73_2026-05-31 08:00Z
BC 521,Unknown,HND,OKA,2026-05-31 08:05Z,2026-05-31 08:05Z,2026-05-31 10:50Z,2026-05-31 10:50Z,CheckIn,BC,BC521_2026-05-31 08:05Z
HD 67,Unknown,HND,OBO,2026-05-31 08:05Z,2026-05-31 08:05Z,2026-05-31 09:40Z,2026-05-31 09:40Z,CheckIn,HD,HD67_2026-05-31 08:05Z
NH 4767,Unknown,HND,OBO,2026-05-31 08:05Z,2026-05-31 08:05Z,2026-05-31 09:40Z,2026-05-31 09:40Z,CheckIn,NH,NH4767_2026-05-31 08:05Z
JL 159,Unknown,HND,MSJ,2026-05-31 08:05Z,2026-05-31 08:05Z,2026-05-31 09:30Z,Not Available,CheckIn,JL,JL159_2026-05-31 08:05Z
ET 1341,Unknown,HND,SIN,2026-05-31 08:05Z,2026-05-31 08:05Z,2026-05-31 15:05Z,2026-05-31 15:05Z,CheckIn,ET,ET1341_2026-05-31 08:05Z
AI 8163,Unknown,HND,SIN,2026-05-31 08:05Z,2026-05-31 08:05Z,2026-05-31 15:05Z,2026-05-31 15:05Z,CheckIn,AI,AI8163_2026-05-31 08:05Z
SQ 633,Unknown,HND,SIN,2026-05-31 08:05Z,2026-05-31 08:05Z,2026-05-31 15:05Z,2026-05-31 15:05Z,CheckIn,SQ,SQ633_2026-05-31 08:05Z
NH 6257,Unknown,HND,SIN,2026-05-31 08:05Z,2026-05-31 08:05Z,2026-05-31 15:05Z,2026-05-31 15:05Z,CheckIn,NH,NH6257_2026-05-31 08:05Z
FJ 5964,Unknown,HND,SIN,2026-05-31 08:05Z,2026-05-31 08:05Z,2026-05-31 15:05Z,2026-05-31 15:05Z,CheckIn,FJ,FJ5964_2026-05-31 08:05Z
JL 8261,Unknown,HND,PVG,2026-05-31 08:10Z,2026-05-31 08:10Z,2026-05-31 11:20Z,2026-05-31 11:20Z,CheckIn,JL,JL8261_2026-05-31 08:10Z
MU 8634,Unknown,HND,PVG,2026-05-31 08:10Z,2026-05-31 08:10Z,2026-05-31 11:20Z,2026-05-31 11:20Z,CheckIn,MU,MU8634_2026-05-31 08:10Z
FM 896,Unknown,HND,PVG,2026-05-31 08:10Z,2026-05-31 08:10Z,2026-05-31 11:20Z,2026-05-31 11:20Z,CheckIn,FM,FM896_2026-05-31 08:10Z
JL 589,Unknown,HND,HKD,2026-05-31 08:10Z,2026-05-31 08:10Z,2026-05-31 09:40Z,Not Available,CheckIn,JL,JL589_2026-05-31 08:10Z
NH 7006,Unknown,HND,ORD,2026-05-31 08:15Z,2026-05-31 08:15Z,2026-05-31 20:25Z,Not Available,CheckIn,NH,NH7006_2026-05-31 08:15Z
UA 882,Unknown,HND,ORD,2026-05-31 08:15Z,2026-05-31 08:15Z,2026-05-31 20:25Z,Not Available,CheckIn,UA,UA882_2026-05-31 08:15Z
JL 545,Unknown,HND,KUH,2026-05-31 08:15Z,2026-05-31 08:15Z,2026-05-31 10:00Z,2026-05-31 10:00Z,CheckIn,JL,JL545_2026-05-31 08:15Z
NH 2497,Unknown,HND,OIT,2026-05-31 08:15Z,2026-05-31 08:15Z,2026-05-31 09:55Z,Not Available,CheckIn,NH,NH2497_2026-05-31 08:15Z
6J 97,Unknown,HND,OIT,2026-05-31 08:15Z,2026-05-31 08:15Z,2026-05-31 09:55Z,Not Available,CheckIn,6J,6J97_2026-05-31 08:15Z
NH 4787,Unknown,HND,AKJ,2026-05-31 08:15Z,2026-05-31 08:15Z,2026-05-31 09:50Z,Not Available,CheckIn,NH,NH4787_2026-05-31 08:15Z
HD 87,Unknown,HND,AKJ,2026-05-31 08:15Z,2026-05-31 08:15Z,2026-05-31 09:50Z,Not Available,CheckIn,HD,HD87_2026-05-31 08:15Z
JL 569,Unknown,HND,MMB,2026-05-31 08:15Z,2026-05-31 08:15Z,2026-05-31 10:05Z,2026-05-31 10:05Z,CheckIn,JL,JL569_2026-05-31 08:15Z
CA 6654,Unknown,HND,PEK,2026-05-31 08:15Z,2026-05-31 08:15Z,2026-05-31 12:15Z,2026-05-31 12:15Z,CheckIn,CA,CA6654_2026-05-31 08:15Z
NH 963,Unknown,HND,PEK,2026-05-31 08:15Z,2026-05-31 08:15Z,2026-05-31 12:15Z,2026-05-31 12:15Z,CheckIn,NH,NH963_2026-05-31 08:15Z
FM 1020,Unknown,HND,PVG,2026-05-31 08:20Z,2026-05-31 08:20Z,2026-05-31 11:45Z,2026-05-31 11:45Z,CheckIn,FM,FM1020_2026-05-31 08:20Z
JL 89,Unknown,HND,PVG,2026-05-31 08:20Z,2026-05-31 08:20Z,2026-05-31 11:45Z,2026-05-31 11:45Z,CheckIn,JL,JL89_2026-05-31 08:20Z
MU 4183,Unknown,HND,PVG,2026-05-31 08:20Z,2026-05-31 08:20Z,2026-05-31 11:45Z,2026-05-31 11:45Z,CheckIn,MU,MU4183_2026-05-31 08:20Z
NH 285,Unknown,HND,TKS,2026-05-31 08:20Z,2026-05-31 08:20Z,2026-05-31 09:35Z,Not Available,CheckIn,NH,NH285_2026-05-31 08:20Z
